     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |   7.00 |   4.00 |   8.00 |   3.00 |   9.00 |   5.00 |   8.00 |   3.00 |   1.00 |   1.00 |   7.00 |   1.00 |   4.00 |   6.00 |   7.00 |   9.00 |   4.00 |   8.00 |   6.00 |   6.00 |   8.00 |   3.00 |   7.00 |   8.00 |   6.00 |   5.00 |   4.00 |   5.00 |   6.00 |   2.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  43.00 |
 y32 |   5.00 |   3.00 |   1.00 |   4.00 |   5.00 |   4.00 |   7.00 |   4.00 |   2.00 |   2.00 |   6.00 |   2.00 |   9.00 |   1.00 |   5.00 |   2.00 |   8.00 |   8.00 |   4.00 |   8.00 |   2.00 |   5.00 |   3.00 |   9.00 |   1.00 |   2.00 |   5.00 |   2.00 |   1.00 |   9.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  41.00 |
 y33 |   4.00 |   5.00 |   1.00 |   4.00 |   1.00 |   7.00 |   2.00 |   2.00 |   2.00 |   7.00 |   8.00 |   1.00 |   4.00 |   4.00 |   2.00 |   9.00 |   2.00 |   2.00 |   8.00 |   7.00 |   5.00 |   8.00 |   8.00 |   1.00 |   8.00 |   4.00 |   3.00 |   7.00 |   5.00 |   6.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  28.00 |
 y34 |   2.00 |   8.00 |   6.00 |   2.00 |   6.00 |   9.00 |   2.00 |   3.00 |   6.00 |   8.00 |   6.00 |   9.00 |   3.00 |   2.00 |   3.00 |   3.00 |   1.00 |   5.00 |   5.00 |   8.00 |   4.00 |   9.00 |   8.00 |   6.00 |   4.00 |   1.00 |   7.00 |   7.00 |   8.00 |   7.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  37.00 |
 y35 |   2.00 |   4.00 |   6.00 |   9.00 |   4.00 |   4.00 |   7.00 |   6.00 |   7.00 |   7.00 |   4.00 |   5.00 |   5.00 |   4.00 |   3.00 |   9.00 |   9.00 |   9.00 |   6.00 |   3.00 |   8.00 |   3.00 |   3.00 |   6.00 |   5.00 |   7.00 |   2.00 |   3.00 |   9.00 |   5.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  17.00 |
 y36 |   6.00 |   7.00 |   5.00 |   1.00 |   5.00 |   8.00 |   8.00 |   6.00 |   1.00 |   9.00 |   7.00 |   8.00 |   2.00 |   4.00 |   4.00 |   5.00 |   3.00 |   5.00 |   2.00 |   2.00 |   5.00 |   3.00 |   4.00 |   7.00 |   8.00 |   7.00 |   3.00 |   7.00 |   7.00 |   5.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |  33.00 |
 y37 |   9.00 |   8.00 |   2.00 |   3.00 |   5.00 |   2.00 |   3.00 |   2.00 |   9.00 |   2.00 |   3.00 |   9.00 |   2.00 |   4.00 |   8.00 |   5.00 |   5.00 |   1.00 |   3.00 |   5.00 |   4.00 |   6.00 |   1.00 |   8.00 |   8.00 |   3.00 |   3.00 |   3.00 |   2.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |  35.00 |
 y38 |   8.00 |   2.00 |   8.00 |   2.00 |   8.00 |   9.00 |   7.00 |   6.00 |   1.00 |   4.00 |   9.00 |   4.00 |   3.00 |   1.00 |   8.00 |   2.00 |   4.00 |   7.00 |   9.00 |   5.00 |   8.00 |   5.00 |   5.00 |   6.00 |   7.00 |   6.00 |   4.00 |   6.00 |   7.00 |   3.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |  22.00 |
 y39 |   3.00 |   1.00 |   9.00 |   5.00 |   4.00 |   4.00 |   5.00 |   2.00 |   3.00 |   7.00 |   1.00 |   4.00 |   1.00 |   7.00 |   6.00 |   6.00 |   7.00 |   3.00 |   2.00 |   5.00 |   9.00 |   8.00 |   5.00 |   4.00 |   2.00 |   1.00 |   1.00 |   3.00 |   5.00 |   2.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |  24.00 |
 y40 |   4.00 |   9.00 |   8.00 |   3.00 |   8.00 |   9.00 |   7.00 |   6.00 |   1.00 |   8.00 |   9.00 |   5.00 |   6.00 |   2.00 |   1.00 |   5.00 |   5.00 |   2.00 |   8.00 |   6.00 |   9.00 |   1.00 |   2.00 |   8.00 |   6.00 |   6.00 |   7.00 |   1.00 |   7.00 |   2.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |  49.00 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |   6.33 |   2.67 |   6.00 |   0.00 |   7.67 |   3.67 |   5.67 |   1.00 |  -1.33 |  -1.33 |   5.67 |  -0.67 |   2.33 |   4.67 |   6.00 |   6.00 |   1.00 |   5.00 |   4.00 |   5.00 |   5.33 |   2.00 |   6.00 |   6.00 |   4.33 |   2.67 |   3.33 |   4.00 |   3.00 |   0.33 |   1.00 |   0.00 |   0.00 |   0.00 |  -0.33 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  37.33 |
 y32 |   4.11 |   1.22 |  -1.67 |   0.00 |   3.22 |   2.22 |   3.89 |   1.33 |  -1.11 |  -1.11 |   4.22 |  -0.22 |   6.78 |  -0.78 |   3.67 |  -2.00 |   4.00 |   4.00 |   1.33 |   6.67 |  -1.56 |   3.67 |   1.67 |   6.33 |  -1.22 |  -1.11 |   4.11 |   0.67 |  -3.00 |   6.78 |   0.00 |   1.00 |   0.00 |   0.00 |  -0.44 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  33.44 |
 y33 |   3.11 |   3.22 |  -1.67 |   0.00 |  -0.78 |   5.22 |  -1.11 |  -0.67 |  -1.11 |   3.89 |   6.22 |  -1.22 |   1.78 |   2.22 |   0.67 |   5.00 |  -2.00 |  -2.00 |   5.33 |   5.67 |   1.44 |   6.67 |   6.67 |  -1.67 |   5.78 |   0.89 |   2.11 |   5.67 |   1.00 |   3.78 |   0.00 |   0.00 |   1.00 |   0.00 |  -0.44 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  20.44 |
 y34 |   1.56 |   7.11 |   4.67 |   0.00 |   5.11 |   8.11 |   0.44 |   1.67 |   4.44 |   6.44 |   5.11 |   7.89 |   1.89 |   1.11 |   2.33 |   1.00 |  -1.00 |   3.00 |   3.67 |   7.33 |   2.22 |   8.33 |   7.33 |   4.67 |   2.89 |  -0.56 |   6.56 |   6.33 |   6.00 |   5.89 |   0.00 |   0.00 |   0.00 |   1.00 |  -0.22 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  33.22 |
  y4 |   0.22 |   0.44 |   0.67 |   1.00 |   0.44 |   0.44 |   0.78 |   0.67 |   0.78 |   0.78 |   0.44 |   0.56 |   0.56 |   0.44 |   0.33 |   1.00 |   1.00 |   1.00 |   0.67 |   0.33 |   0.89 |   0.33 |   0.33 |   0.67 |   0.56 |   0.78 |   0.22 |   0.33 |   1.00 |   0.56 |   0.00 |   0.00 |   0.00 |   0.00 |   0.11 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.89 |
 y36 |   5.78 |   6.56 |   4.33 |   0.00 |   4.56 |   7.56 |   7.22 |   5.33 |   0.22 |   8.22 |   6.56 |   7.44 |   1.44 |   3.56 |   3.67 |   4.00 |   2.00 |   4.00 |   1.33 |   1.67 |   4.11 |   2.67 |   3.67 |   6.33 |   7.44 |   6.22 |   2.78 |   6.67 |   6.00 |   4.44 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.11 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |  31.11 |
 y37 |   8.33 |   6.67 |   0.00 |   0.00 |   3.67 |   0.67 |   0.67 |   0.00 |   6.67 |  -0.33 |   1.67 |   7.33 |   0.33 |   2.67 |   7.00 |   2.00 |   2.00 |  -2.00 |   1.00 |   4.00 |   1.33 |   5.00 |   0.00 |   6.00 |   6.33 |   0.67 |   2.33 |   2.00 |  -1.00 |  -0.67 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.33 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |  29.33 |
 y38 |   7.56 |   1.11 |   6.67 |   0.00 |   7.11 |   8.11 |   5.44 |   4.67 |  -0.56 |   2.44 |   8.11 |   2.89 |   1.89 |   0.11 |   7.33 |   0.00 |   2.00 |   5.00 |   7.67 |   4.33 |   6.22 |   4.33 |   4.33 |   4.67 |   5.89 |   4.44 |   3.56 |   5.33 |   5.00 |   1.89 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.22 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |  18.22 |
 y39 |   1.89 |  -1.22 |   5.67 |   0.00 |   1.78 |   1.78 |   1.11 |  -1.33 |  -0.89 |   3.11 |  -1.22 |   1.22 |  -1.78 |   4.78 |   4.33 |   1.00 |   2.00 |  -2.00 |  -1.33 |   3.33 |   4.56 |   6.33 |   3.33 |   0.67 |  -0.78 |  -2.89 |  -0.11 |   1.33 |   0.00 |  -0.78 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.56 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |  14.56 |
 y40 |   3.33 |   7.67 |   6.00 |   0.00 |   6.67 |   7.67 |   4.67 |   4.00 |  -1.33 |   5.67 |   7.67 |   3.33 |   4.33 |   0.67 |   0.00 |   2.00 |   2.00 |  -1.00 |   6.00 |   5.00 |   6.33 |   0.00 |   1.00 |   6.00 |   4.33 |   3.67 |   6.33 |   0.00 |   4.00 |   0.33 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.33 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |  43.33 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |   4.49 |   3.86 |   0.47 |   0.00 |   5.93 |   1.93 |   4.58 |   2.30 |  -0.47 |  -4.37 |   6.86 |  -1.86 |   4.07 |   0.00 |   1.77 |   5.02 |  -0.95 |   6.95 |   5.30 |   1.74 |   0.88 |  -4.19 |   2.74 |   5.35 |   5.09 |   5.49 |   3.44 |   2.70 |   3.00 |   1.09 |   1.00 |   0.00 |   0.00 |   0.00 |   0.21 |   0.00 |   0.00 |   0.00 |  -0.98 |   0.00 |  23.12 |
 y32 |   4.42 |   1.02 |  -0.74 |   0.00 |   3.51 |   2.51 |   4.07 |   1.12 |  -1.26 |  -0.60 |   4.02 |  -0.02 |   6.49 |   0.00 |   4.37 |  -1.84 |   4.33 |   3.67 |   1.12 |   7.21 |  -0.81 |   4.70 |   2.21 |   6.44 |  -1.35 |  -1.58 |   4.09 |   0.88 |  -3.00 |   6.65 |   0.00 |   1.00 |   0.00 |   0.00 |  -0.53 |   0.00 |   0.00 |   0.00 |   0.16 |   0.00 |  35.81 |
 y33 |   2.23 |   3.79 |  -4.30 |   0.00 |  -1.60 |   4.40 |  -1.63 |  -0.05 |  -0.70 |   2.44 |   6.79 |  -1.79 |   2.60 |   0.00 |  -1.35 |   4.53 |  -2.93 |  -1.07 |   5.95 |   4.12 |  -0.67 |   3.72 |   5.12 |  -1.98 |   6.14 |   2.23 |   2.16 |   5.05 |   1.00 |   4.14 |   0.00 |   0.00 |   1.00 |   0.00 |  -0.19 |   0.00 |   0.00 |   0.00 |  -0.47 |   0.00 |  13.67 |
 y34 |   1.12 |   7.40 |   3.35 |   0.00 |   4.70 |   7.70 |   0.19 |   1.98 |   4.65 |   5.72 |   5.40 |   7.60 |   2.30 |   0.00 |   1.33 |   0.77 |  -1.47 |   3.47 |   3.98 |   6.56 |   1.16 |   6.86 |   6.56 |   4.51 |   3.07 |   0.12 |   6.58 |   6.02 |   6.00 |   6.07 |   0.00 |   0.00 |   0.00 |   1.00 |  -0.09 |   0.00 |   0.00 |   0.00 |  -0.23 |   0.00 |  29.84 |
  y4 |   0.05 |   0.56 |   0.14 |   1.00 |   0.28 |   0.28 |   0.67 |   0.79 |   0.86 |   0.49 |   0.56 |   0.44 |   0.72 |   0.00 |  -0.07 |   0.91 |   0.81 |   1.19 |   0.79 |   0.02 |   0.47 |  -0.26 |   0.02 |   0.60 |   0.63 |   1.05 |   0.23 |   0.21 |   1.00 |   0.63 |   0.00 |   0.00 |   0.00 |   0.00 |   0.16 |   0.00 |   0.00 |   0.00 |  -0.09 |   0.00 |   0.53 |
 y36 |   4.37 |   7.47 |   0.12 |   0.00 |   3.23 |   6.23 |   6.40 |   6.33 |   0.88 |   5.91 |   7.47 |   6.53 |   2.77 |   0.00 |   0.44 |   3.26 |   0.51 |   5.49 |   2.33 |  -0.81 |   0.72 |  -2.05 |   1.19 |   5.84 |   8.02 |   8.37 |   2.86 |   5.67 |   6.00 |   5.02 |   0.00 |   0.00 |   0.00 |   0.00 |   0.30 |   1.00 |   0.00 |   0.00 |  -0.74 |   0.00 |  20.28 |
 y37 |   7.28 |   7.35 |  -3.16 |   0.00 |   2.67 |  -0.33 |   0.05 |   0.74 |   7.16 |  -2.07 |   2.35 |   6.65 |   1.33 |   0.00 |   4.58 |   1.44 |   0.88 |  -0.88 |   1.74 |   2.14 |  -1.21 |   1.47 |  -1.86 |   5.63 |   6.77 |   2.28 |   2.40 |   1.26 |  -1.00 |  -0.23 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.02 |   0.00 |   1.00 |   0.00 |  -0.56 |   0.00 |  21.21 |
 y38 |   7.51 |   1.14 |   6.53 |   0.00 |   7.07 |   8.07 |   5.42 |   4.70 |  -0.53 |   2.37 |   8.14 |   2.86 |   1.93 |   0.00 |   7.23 |  -0.02 |   1.95 |   5.05 |   7.70 |   4.26 |   6.12 |   4.19 |   4.26 |   4.65 |   5.91 |   4.51 |   3.56 |   5.30 |   5.00 |   1.91 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.21 |   0.00 |   0.00 |   1.00 |  -0.02 |   0.00 |  17.88 |
