Solução Ótima:
Vértice 1: Casa
Vértice 2: Casa
Vértice 3: Parque
Vértice 4: Fábrica
Vértice 5: Fábrica
Vértice 6: Casa
Vértice 7: Casa
Vértice 8: Fábrica
Vértice 9: Casa
Vértice 10: Casa
Vértice 11: Casa
Vértice 12: Casa
Vértice 13: Casa
Vértice 14: Fábrica
Vértice 15: Casa
Vértice 16: Fábrica
Vértice 17: Fábrica
Vértice 18: Fábrica
Vértice 19: Fábrica
Vértice 20: Parque
Vértice 21: Fábrica
Vértice 22: Casa
Vértice 23: Parque
Vértice 24: Casa
Vértice 25: Fábrica
Vértice 26: Parque
Vértice 27: Casa
Vértice 28: Fábrica
Vértice 29: Casa
Vértice 30: Casa
Vértice 31: Casa
Vértice 32: Casa
Vértice 33: Parque
Vértice 34: Fábrica
Vértice 35: Casa
Vértice 36: Casa
Vértice 37: Casa
Vértice 38: Fábrica
Vértice 39: Casa
Vértice 40: Fábrica
Vértice 41: Casa
Vértice 42: Fábrica
Vértice 43: Casa
Vértice 44: Casa
Vértice 45: Parque
Vértice 46: Fábrica
Vértice 47: Casa
Vértice 48: Parque
Vértice 49: Casa
Vértice 50: Casa

Custo Total: 1088000
Numero de Habitantes: 27
Felicidade: 11
Lucro: 94
